L: x=0.539 y=0.555 | R: x=0.470 y=0.531 | RAW: x=0.504 y=0.543 | NORM: x=0.513 y=0.644
L: x=0.468 y=0.538 | R: x=0.390 y=0.521 | RAW: x=0.429 y=0.529 | NORM: x=0.265 y=0.598
L: x=0.530 y=0.593 | R: x=0.434 y=0.562 | RAW: x=0.482 y=0.577 | NORM: x=0.441 y=0.758
L: x=0.545 y=0.582 | R: x=0.462 y=0.554 | RAW: x=0.503 y=0.568 | NORM: x=0.511 y=0.727
L: x=0.551 y=0.652 | R: x=0.416 y=0.635 | RAW: x=0.484 y=0.643 | NORM: x=0.447 y=0.978
L: x=0.540 y=0.535 | R: x=0.453 y=0.537 | RAW: x=0.497 y=0.536 | NORM: x=0.489 y=0.621
L: x=0.593 y=0.589 | R: x=0.518 y=0.591 | RAW: x=0.556 y=0.590 | NORM: x=0.685 y=0.801
L: x=0.577 y=0.491 | R: x=0.524 y=0.499 | RAW: x=0.550 y=0.495 | NORM: x=0.667 y=0.484
L: x=0.479 y=0.499 | R: x=0.424 y=0.508 | RAW: x=0.451 y=0.504 | NORM: x=0.338 y=0.512
L: x=0.537 y=0.495 | R: x=0.482 y=0.501 | RAW: x=0.510 y=0.498 | NORM: x=0.532 y=0.493
L: x=0.566 y=0.458 | R: x=0.503 y=0.467 | RAW: x=0.534 y=0.463 | NORM: x=0.614 y=0.376
L: x=0.532 y=0.497 | R: x=0.456 y=0.507 | RAW: x=0.494 y=0.502 | NORM: x=0.480 y=0.508
L: x=0.506 y=0.471 | R: x=0.443 y=0.482 | RAW: x=0.474 y=0.477 | NORM: x=0.414 y=0.422
L: x=0.514 y=0.466 | R: x=0.450 y=0.472 | RAW: x=0.482 y=0.469 | NORM: x=0.439 y=0.397
L: x=0.549 y=0.578 | R: x=0.453 y=0.562 | RAW: x=0.501 y=0.570 | NORM: x=0.502 y=0.733
L: x=0.572 y=0.635 | R: x=0.472 y=0.640 | RAW: x=0.522 y=0.638 | NORM: x=0.574 y=0.959
L: x=0.594 y=0.658 | R: x=0.455 y=0.669 | RAW: x=0.524 y=0.664 | NORM: x=0.582 y=1.000
L: x=0.570 y=0.531 | R: x=0.486 y=0.527 | RAW: x=0.528 y=0.529 | NORM: x=0.593 y=0.596
L: x=0.577 y=0.491 | R: x=0.512 y=0.498 | RAW: x=0.544 y=0.494 | NORM: x=0.647 y=0.481
L: x=0.589 y=0.500 | R: x=0.508 y=0.502 | RAW: x=0.548 y=0.501 | NORM: x=0.661 y=0.504
L: x=0.541 y=0.659 | R: x=0.476 y=0.657 | RAW: x=0.509 y=0.658 | NORM: x=0.529 y=1.000
L: x=0.565 y=0.524 | R: x=0.496 y=0.532 | RAW: x=0.530 y=0.528 | NORM: x=0.601 y=0.594
L: x=0.539 y=0.484 | R: x=0.475 y=0.489 | RAW: x=0.507 y=0.486 | NORM: x=0.523 y=0.455
L: x=0.523 y=0.454 | R: x=0.447 y=0.458 | RAW: x=0.485 y=0.456 | NORM: x=0.451 y=0.353
L: x=0.532 y=0.470 | R: x=0.461 y=0.472 | RAW: x=0.496 y=0.471 | NORM: x=0.488 y=0.403
L: x=0.581 y=0.621 | R: x=0.468 y=0.624 | RAW: x=0.525 y=0.623 | NORM: x=0.582 y=0.909
L: x=0.569 y=0.751 | R: x=0.472 y=0.761 | RAW: x=0.520 y=0.756 | NORM: x=0.568 y=1.000
L: x=0.578 y=0.633 | R: x=0.483 y=0.629 | RAW: x=0.531 y=0.631 | NORM: x=0.603 y=0.936
L: x=0.567 y=0.540 | R: x=0.477 y=0.561 | RAW: x=0.522 y=0.550 | NORM: x=0.574 y=0.668
L: x=0.514 y=0.525 | R: x=0.456 y=0.511 | RAW: x=0.485 y=0.518 | NORM: x=0.451 y=0.561
L: x=0.551 y=0.527 | R: x=0.490 y=0.510 | RAW: x=0.521 y=0.518 | NORM: x=0.569 y=0.561
L: x=0.552 y=0.487 | R: x=0.491 y=0.472 | RAW: x=0.521 y=0.479 | NORM: x=0.571 y=0.431
L: x=0.556 y=0.579 | R: x=0.471 y=0.565 | RAW: x=0.513 y=0.572 | NORM: x=0.544 y=0.740
L: x=0.529 y=0.644 | R: x=0.428 y=0.611 | RAW: x=0.478 y=0.627 | NORM: x=0.427 y=0.925
L: x=0.474 y=0.515 | R: x=0.391 y=0.506 | RAW: x=0.432 y=0.511 | NORM: x=0.275 y=0.535
L: x=0.470 y=0.508 | R: x=0.391 y=0.496 | RAW: x=0.431 y=0.502 | NORM: x=0.269 y=0.506
L: x=0.481 y=0.535 | R: x=0.391 y=0.524 | RAW: x=0.436 y=0.529 | NORM: x=0.287 y=0.598
L: x=0.468 y=0.523 | R: x=0.393 y=0.513 | RAW: x=0.431 y=0.518 | NORM: x=0.269 y=0.559
L: x=0.567 y=0.542 | R: x=0.498 y=0.522 | RAW: x=0.533 y=0.532 | NORM: x=0.609 y=0.607
L: x=0.548 y=0.491 | R: x=0.490 y=0.474 | RAW: x=0.519 y=0.482 | NORM: x=0.563 y=0.441
L: x=0.527 y=0.513 | R: x=0.465 y=0.508 | RAW: x=0.496 y=0.510 | NORM: x=0.486 y=0.535
L: x=0.537 y=0.627 | R: x=0.406 y=0.611 | RAW: x=0.471 y=0.619 | NORM: x=0.405 y=0.897
L: x=0.508 y=0.555 | R: x=0.419 y=0.539 | RAW: x=0.463 y=0.547 | NORM: x=0.378 y=0.657
L: x=0.568 y=0.503 | R: x=0.501 y=0.484 | RAW: x=0.535 y=0.493 | NORM: x=0.615 y=0.478
L: x=0.468 y=0.518 | R: x=0.386 y=0.508 | RAW: x=0.427 y=0.513 | NORM: x=0.257 y=0.543
L: x=0.567 y=0.547 | R: x=0.497 y=0.531 | RAW: x=0.532 y=0.539 | NORM: x=0.607 y=0.630
L: x=0.560 y=0.685 | R: x=0.478 y=0.617 | RAW: x=0.519 y=0.651 | NORM: x=0.562 y=1.000
L: x=0.573 y=0.629 | R: x=0.463 y=0.611 | RAW: x=0.518 y=0.620 | NORM: x=0.560 y=0.901
L: x=0.554 y=0.560 | R: x=0.477 y=0.543 | RAW: x=0.515 y=0.551 | NORM: x=0.551 y=0.672
L: x=0.569 y=0.642 | R: x=0.450 y=0.620 | RAW: x=0.509 y=0.631 | NORM: x=0.531 y=0.937
L: x=0.536 y=0.589 | R: x=0.451 y=0.576 | RAW: x=0.493 y=0.582 | NORM: x=0.478 y=0.775
L: x=0.567 y=0.539 | R: x=0.498 y=0.523 | RAW: x=0.532 y=0.531 | NORM: x=0.608 y=0.603
L: x=0.479 y=0.545 | R: x=0.398 y=0.525 | RAW: x=0.439 y=0.535 | NORM: x=0.296 y=0.616
L: x=0.562 y=0.526 | R: x=0.494 y=0.506 | RAW: x=0.528 y=0.516 | NORM: x=0.593 y=0.554
L: x=0.463 y=0.561 | R: x=0.371 y=0.547 | RAW: x=0.417 y=0.554 | NORM: x=0.223 y=0.679
L: x=0.484 y=0.520 | R: x=0.409 y=0.521 | RAW: x=0.447 y=0.521 | NORM: x=0.323 y=0.568
L: x=0.567 y=0.557 | R: x=0.489 y=0.545 | RAW: x=0.528 y=0.551 | NORM: x=0.595 y=0.670
L: x=0.509 y=0.583 | R: x=0.423 y=0.561 | RAW: x=0.466 y=0.572 | NORM: x=0.388 y=0.740
